Stock,Epic,Qty,Price,Target,Stop,Date,Sell,Sell Date,P/L
RBG Group,RBGP,5000,60.0,80,50,2021-01-15,140.0,2021-09-28,4000.0
Begbies,BEG,7500,99.47,120,80,2021-01-12,120.0,2021-04-12,1540.0
Money Supermarket,MONY,3500,264.9,290,235,2021-01-04,258.0,2021-08-10,-241.0
Fonix Mobile,FNX,5000,124.0,180,110,2020-12-23,166.0,2021-09-06,2100.0
Entain,ENT,600,1129.0,1500,1000,2020-12-22,1660.0,2021-05-07,3186.0
Spire,SPI,6000,136.7,195,120,2020-12-21,251.5,2021-06-17,6888.0
Volex,VLX,2000,301.7,380,280,2020-12-18,373.5,2021-06-17,1436.0
Avast,AVST,1500,476.0,580,420,2020-12-08,604.0,2021-08-25,1920.0
Calnex,CLX,5000,92.0,140,82,2020-11-26,112.0,2021-09-01,1000.0
I Energiser,IBPO,1000,260.0,400,220,2020-11-12,190.0,2023-04-21,-700.0
Qinetic,QQ,2000,273.2,350,250,2020-11-09,,,
IG,IGG,1000,764.0,900,700,2020-11-06,830.5,2021-09-24,665.0
CMC,CMCX,1500,311.8,370,270,2020-10-01,423.3,2021-08-06,1672.0
888,888,3500,205.0,280,185,2020-09-25,175.2,2022-07-04,-1043.0
IG Group,IGG,1000,770.0,880,720,2020-09-24,830.5,2021-09-24,605.0
TT Electronics,TTG,5000,179.2,250,140,2020-09-22,273.8,2021-09-20,4730.0
ITV,ITV,10000,58.7,75,50,2020-09-22,117.25,2021-08-25,5855.0
Kingfisher,KGF,2000,281.8,335,240,2020-09-22,304.3,2020-10-27,250.0
Thinksmart,TSL,10000,38.22,50,30,2020-09-15,90.9,2021-12-14,5268.0
Clipper,CLG,1000,440.0,500,390,2020-09-14,811.0,2021-09-27,3710.0
Mondi,MNDI,250,1477.5,1650,1400,2020-09-10,1685.0,2020-10-01,519.0
Flutter,FLTR,100,11220.0,13000,10730,2020-09-09,13990.0,2021-03-02,2270.0
Avon Rubber,AVON,100,3915.0,4500,3500,2020-09-09,2782.3,2021-06-09,-1133.0
I energizer,IBPO,1000,226.0,280,190,2020-09-03,190.0,2023-04-21,-360.0
Kooth,KOO,2500,239.5,280,200,2020-09-02,286.0,2021-01-25,1163.0
Rightmove,RMV,500,626.0,700,520,2020-08-26,704.0,2021-09-27,390.0
Next Fifteen,NFC,2500,430.5,525,380,2020-08-25,640.0,2021-02-02,5250.0
Cineworld,CINE,10000,47.36,75,42,2020-08-18,60.2,2020-09-04,1284.0
CMC,CMCX,2500,299.5,345,270,2020-08-10,423.3,2021-08-06,3095.0
Morgan SIndall,MGNS,400,1126.8,1400,1050,2020-08-05,2620.7,2021-09-23,5975.0
ITV,ITV,10000,58.5,72,52,2020-08-04,100.0,2022-03-03,4150.0
Greggs,GRG,200,1196.0,1500,1120,2020-08-03,1394.0,2020-09-07,396.0
Network Int,NETW,1000,399.0,480,370,2020-07-29,401.9,2020-09-14,29.0
Spirent,SPT,2000,258.0,350,240,2020-07-29,249.0,2023-01-20,-180.0
Flutter,FLTR,300,11535.0,13000,11000,2020-07-17,12485.0,2020-08-26,2850.0
I energizer,IBPO,1500,239.9,320,210,2020-07-16,190.0,2023-04-21,-748.0
K3C,K3C,1500,134.0,180,110,2020-07-16,348.5,2023-02-01,3217.0
Qinetic,QQ,2500,290.2,350,265,2020-07-14,,,
Flutter,FLTR,100,10779.3,12000,10100,2020-07-06,12485.0,2020-08-26,1706.0
Allianz Tech,ATT,200,2330.0,2550,2200,2020-07-03,3010.0,2021-09-29,1360.0
D4T4,D4T4,1000,220.0,250,180,2020-07-02,325.0,2021-12-01,1050.0
888,888,3500,167.9,190,145,2020-06-26,175.2,2022-07-04,256.0
Kape Technology,KAPE,5000,203.0,250,180,2020-06-25,196.75,2020-09-03,-313.0
Gateley,GTLY,5000,122.0,145,112,2020-06-25,138.0,2020-08-21,800.0
Avon Rubber,AVON,100,3005.0,3550,2770,2020-06-25,2782.3,2021-06-09,-223.0
Concurrent Tech,CNC,5000,106.2,130,80,2020-06-18,98.2,2021-09-07,-400.0
Telecom Plus,TEP,500,1393.8,1550,1250,2020-06-16,,,
888,888,2500,147.9,175,135,2020-06-15,175.2,2022-07-06,683.0
TP Group,TPG,150000,5.9,10,5,2020-06-10,5.0,2021-06-15,-1350.0
Elecosoft,ELCO,5000,76.96,95,60,2020-06-02,81.0,2020-07-22,202.0
Morgan SIndall,MGNS,240,1220.0,1500,1150,2020-05-29,1156.0,2020-07-17,-154.0
ITV,ITV,5000,74.9,95,65,2020-05-21,88.0,2020-06-09,655.0
Vaneck Video Gaming,ESGB,1000,2353.0,2800,2000,2020-05-21,31850.0,2021-06-29,8320.0
D4T4,D4T4,2500,185.0,235,165,2020-05-19,325.0,2021-12-01,3500.0
Kingfisher,KGF,5000,150.5,180,130,2020-04-28,304.3,2020-10-27,7690.0
Begbies,BEG,10000,95.7,115,82,2020-04-24,126.18,2022-02-04,3048.0
FRP Advisory,FRP,10000,111.88,130,100,2020-04-20,129.35,2020-08-21,1747.0
RBG Group,RBGP,10000,64.0,85,50,2020-04-17,76.5,2020-07-13,1250.0
Concurrent Tech,CNC,5000,91.5,110,80,2020-04-17,98.2,2021-09-07,365.0
Sopheon,SPE,1000,619.0,800,550,2020-04-16,916.0,2023-10-31,5850.0
Ab Dynamics,ABDP,300,1470.0,1700,1300,2020-04-16,1824.0,2021-11-11,1062.0
Ramsdens,RFX,5000,120.9,145,100,2020-04-15,163.9,2021-10-11,2150.0
Cohort,CHRT,1000,500.0,600,350,2020-04-14,595.9,2021-11-20,959.0
K3C,K3C,2500,140.9,180,110,2020-04-07,170.55,2020-06-25,741.0
Elecosoft,ELCO,5000,55.8,69,48,2020-04-07,81.0,2020-07-22,1260.0
ITV,ITV,5000,56.48,70,52,2020-04-03,77.1,2020-04-28,1031.0
Begbies,BEG,6000,79.0,100,70,2020-04-01,126.18,2022-02-04,2810.0
TP Group,TPG,100000,5.35,7,5,2020-03-31,5.0,2021-06-15,-350.0
Ab Dynamics,ABDP,1000,1089.0,1500,850,2020-03-26,1824.0,2021-11-11,7350.0
Andrews Sykes,ASY,500,480.0,600,400,2020-03-26,615.0,2020-09-02,675.0
Computacentre,CCC,500,1012.0,1300,950,2020-03-23,2796.0,2021-09-27,8920.0
Qinetic,QQ,1000,243.6,330,210,2020-03-19,,,
Avon Rubber,AVON,300,2030.0,2400,1900,2020-03-17,2528.4,2021-07-12,1495.0
Telecom Plus,TEP,500,958.0,1250,900,2020-03-16,,,
Concurrent Tech,CNC,5000,94.0,130,80,2020-02-11,107.2,2020-02-24,660.0
Rank,RNK,1700,303.4,340,280,2020-02-11,321.24,2020-02-24,304.0
FDM,FDM,500,991.7,1100,950,2020-02-03,998.65,2020-02-20,35.0
Concurrent Tech,CNC,5000,86.0,100,75,2020-01-28,100.2,2020-03-05,710.0
RBG Group,RBGP,5000,61.9,90,52,2020-01-18,136.11,2021-05-05,2911.0
Mission Group,TMG,5000,79.0,90,72,2020-01-16,101.41,2020-02-17,1120.0
Concurrent,CNC,5000,80.84,92,70,2020-01-13,98.2,2021-09-07,868.0
Zytronic,ZYT,1500,226.9,280,190,2020-01-09,231.0,2020-01-27,62.0
Finablr,FIN,2500,125.92,140,118,2020-01-09,116.5,2020-01-24,-236.0
Draper Esprit,GROW,1000,486.0,550,450,2020-01-07,589.28,2020-02-24,1032.0
TP Group,TPG,10000,6.53,9,6,2020-01-06,6.08,2020-03-05,-45.0
Avon Rubber,AVON,100,2085.0,2500,1900,2020-01-02,2647.6,2020-03-05,562.0
Ten Entertainment,TEG,1000,258.6,300,210,2019-11-29,258.1,2020-03-05,-5.0
Cohort,CHRT,1000,560.0,650,500,2019-11-27,675.6,2020-02-24,1156.0
Vianet,VNET,5000,145.75,180,110,2019-11-19,132.3,2020-02-27,-1328.0
Kape Technology,KAPE,10000,90.0,150,80,2019-11-19,165.57,2020-03-05,7557.0
Kape Technology,KAPE,10000,90.0,150,80,2019-11-19,146.23,2019-12-03,5623.0
Avon Rubber,AVON,500,1927.9,2300,1700,2019-11-14,2647.6,2020-03-05,3963.0
Team 17,TM17,1750,319.0,385,280,2019-11-12,552.54,2020-06-25,4087.0
Team 17,TM17,1750,319.0,385,280,2019-11-12,800.0,2022-01-06,8418.0
Helios Towers,HTWS,3000,113.1,140,98,2019-11-07,151.2,2020-01-03,1143.0
Helios Towers,HTWS,2000,113.1,140,98,2019-11-07,149.45,2020-01-23,727.0
SDI,SDI,10000,54.0,75,45,2019-10-17,67.8,2020-03-05,1380.0
Qinetiq,QQ,1000,301.2,330,260,2019-10-07,341.4,2019-11-25,402.0
Begbies,BEG,3000,85.0,100,70,2019-10-07,,,
Next 15,NFC,1000,460.0,550,400,2019-10-01,478.3,2020-03-05,183.0
Ten Entertainment,TEG,3500,242.0,280,200,2019-09-26,258.1,2020-03-05,563.0
Ramsdens,RFX,5000,192.0,220,150,2019-09-26,187.0,2020-03-10,-250.0
Kape Technology,KAPE,5000,70.1,90,60,2019-09-17,175.1,2020-04-28,5250.0
Cohort,CHRT,1000,473.0,600,400,2019-09-16,675.6,2020-02-24,2026.0
TP Group,TPG,50000,6.5,8,5,2019-09-12,6.08,2020-03-05,-210.0
Tritax,BBOX,5000,139.9,160,122,2019-08-29,155.5,2019-11-22,980.0
ITV,ITV,5000,109.0,125,95,2019-08-20,135.0,2020-02-14,1300.0
Cineworld,CINE,5000,213.02,250,190,2019-08-16,210.59,2019-11-13,-122.0
Synthomer,SYNT,2000,282.0,350,220,2019-08-07,315.0,2019-10-02,660.0
Avon Rubber,AVON,1000,1367.9,2200,900,2019-08-05,2528.4,2021-07-12,11605.0
Synthomer (rights),SYNT,1000,240.0,380,200,2019-07-30,302.4,2019-11-12,624.0
Synthomer,SYNT,1500,353.79,450,320,2019-07-03,302.4,2019-11-12,-770.0
Solid State,SOLI,1000,439.5,550,390,2019-07-02,515.0,2020-02-28,755.0
Shoe Zone,SHOE,5000,181.33,220,160,2019-07-01,196.2,2019-08-06,744.0
Mission Marketing,TMG,5000,91.0,110,70,2019-07-01,101.41,2020-02-17,520.0
Shoe Zone,SHOE,2500,180.2,220,165,2019-06-28,214.3,2019-07-26,852.0
Argentex,AGFX,3500,134.5,170,120,2019-06-28,165.5,2019-11-21,1095.0
Finablr,FIN,3500,138.37,170,115,2019-06-19,155.0,2019-09-30,583.0
Telecom Plus,TEP,350,1481.3,1600,1300,2019-06-18,1272.88,2019-08-09,-424.0
Next Fifteen,NFC,1000,601.6,700,500,2019-06-13,560.0,2019-09-16,-416.0
Hilton Food,HFG,172,964.0,1080,880,2019-06-04,1006.03,2020-02-28,72.0
888,888,2500,130.8,170,110,2019-06-03,173.3,2019-11-04,1062.0
Essensys,ESYS,5000,176.0,250,150,2019-05-30,172.5,2019-09-10,-175.0
Avast,AVST,1000,304.9,350,275,2019-05-30,389.0,2019-08-28,841.0
Cohort,CHRT,1000,405.0,480,350,2019-05-20,595.9,2021-11-20,1909.0
888,888,2400,130.5,170,110,2019-05-20,173.3,2019-11-04,1027.0
Robert Walters,RWA,500,629.6,680,590,2019-05-20,591.5,2019-07-20,-191.0
Andrews Sykes,ASY,500,665.0,735,525,2019-05-16,615.0,2020-09-02,-250.0
ITV,ITV,5000,112.1,125,97,2019-05-15,142.7,2020-01-24,1530.0
Gamma Comms,GAMA,300,1090.0,1200,1000,2019-05-14,,,
Synthomer,SYNT,1000,394.6,425,360,2019-05-13,315.0,2019-10-02,-796.0
Gamma,GAMA,250,1080.0,1200,970,2019-05-01,,,
Avon Rubber,AVON,350,1379.9,1500,1250,2019-05-01,2528.4,2021-07-12,4020.0
Computacentre,CCC,1000,1070.0,1300,1000,2019-04-25,1355.0,2019-07-03,2850.0
Solid State,SOLI,1500,420.0,600,380,2019-04-17,515.0,2020-02-28,1425.0
Network Int,NETW,1000,501.0,600,440,2019-04-16,637.0,2020-01-02,1360.0
Oxford Metrics,OMG,5000,96.3,120,85,2019-04-08,122.0,2020-02-24,1285.0
Synthomer,SYNT,1500,389.4,450,350,2019-04-05,323.0,2019-10-01,-996.0
K3C,K3C,1000,124.5,170,100,2019-04-05,254.0,2020-02-24,1261.0
Ab Dynamics,ABDP,750,1652.68,1900,1400,2019-04-03,1980.0,2020-02-25,5554.0
Sopheon,SPE,250,890.0,1110,720,2019-03-22,962.0,2019-07-23,150.0
Oxford Metrics,OMG,5000,87.0,100,75,2019-03-20,110.8,2020-03-05,1190.0
Hollywood Bowl,BOWL,1000,216.0,245,190,2019-03-18,218.1,2020-03-06,210.0
XP Power,XPP,250,2058.0,2400,1900,2019-03-05,2480.0,2019-09-26,1055.0
ITV,ITV,5000,125.3,145,115,2019-02-27,126.5,2019-05-08,60.0
IG Group,IGG,1000,547.0,595,520,2019-02-25,575.0,2019-03-18,280.0
Gb Group,GBG,1000,434.8,550,390,2019-02-15,526.3,2022-10-04,915.0
Redde,REDD,2500,182.6,220,160,2019-02-07,170.88,2019-02-27,-293.0
Rosenblatt,RBGP,5000,82.7,95,72,2019-02-06,101.64,2019-05-02,947.0
XP Power,XPP,121,2030.0,2150,1950,2019-02-04,3770.0,2020-01-27,2105.0
Ig Design,IGR,1000,524.44,580,500,2019-02-04,600.4,2019-05-07,760.0
Computacentre,CCC,250,1048.0,1150,950,2019-02-04,1188.0,2019-03-19,350.0
Kainos,KNOS,750,401.0,480,350,2019-01-29,1374.0,2023-03-07,7298.0
Fulcrum,FCRM,10000,45.01,52,38,2019-01-24,52.0,2019-02-19,699.0
K3C,K3C,1000,230.5,290,200,2019-01-21,240.5,2019-02-14,100.0
XP Power,XPP,67,2010.0,2200,1900,2019-01-18,3770.0,2020-01-27,1179.0
Cineworld,CINE,1500,263.4,285,220,2019-01-18,301.4,2019-03-19,570.0
ITV,ITV,5000,129.1,150,115,2019-01-17,132.4,2019-02-25,165.0
ITV,ITV,5000,127.53,170,115,2019-01-07,126.5,2019-05-08,-51.0
Telecom Plus,TEP,500,1433.0,1700,1250,2018-12-31,1272.88,2019-08-09,-365.0
H&T,HAT,1000,243.0,290,215,2018-12-10,300.0,2019-01-29,570.0
Colefax,CFX,500,580.0,650,540,2018-12-10,530.0,2019-01-03,-250.0
Kainos,KNOS,1000,396.0,450,350,2018-12-10,1374.0,2023-03-07,9780.0
Hollywood Bowl,BOWL,2000,183.5,250,150,2018-12-07,218.1,2020-03-06,620.0
Hollywood Bowl,BOWL,2500,187.0,240,150,2018-12-07,218.1,2020-03-06,777.0
H&T,HAT,1000,235.0,285,210,2018-12-06,324.0,2019-04-05,890.0
888,888,2000,158.0,190,140,2018-12-06,140.0,2019-05-03,-360.0
Kape Technology,KAPE,5000,97.0,125,90,2018-11-21,100.0,2019-03-19,150.0
Trifast,TRI,1500,191.95,225,180,2018-11-13,182.0,2019-01-03,-149.0
Spirent,SPT,2500,115.2,130,105,2018-11-12,162.4,2019-07-02,1180.0
Avon Rubber,AVON,400,1315.0,1500,1100,2018-11-07,2528.4,2021-07-12,4853.0
Ab Dynamics,ABDP,500,1230.0,1700,1000,2018-11-02,1600.0,2019-01-25,1850.0
Telecom Plus,TEP,350,1181.35,1300,1010,2018-10-24,1272.88,2019-08-09,626.0
Cineworld,CINE,2500,271.0,300,240,2018-10-24,226.5,2019-11-11,-1113.0
Trifast,TRI,2500,215.0,230,198,2018-10-16,213.2,2018-10-22,-45.0
Syncona,SYNC,1500,268.23,290,245,2018-10-15,295.1,2019-03-04,403.0
Strix,KETL,2500,146.4,160,130,2018-10-11,149.0,2019-01-22,65.0
Strix,KETL,5000,156.5,195,145,2018-09-21,149.0,2019-01-22,-375.0
NWF,NWF,2500,180.0,220,140,2018-07-02,186.25,2018-09-28,156.0
Robert Walters,RWA,500,702.0,800,600,2018-06-29,733.4,2018-09-17,157.0
Cakebox,CBOX,5000,125.9,160,100,2018-06-27,181.0,2018-10-01,2755.0
Cakebox,CBOX,3500,125.0,165,100,2018-06-27,181.5,2018-10-01,1977.0
Cineworld,CINE,3000,259.3,300,220,2018-06-21,226.5,2019-11-11,-984.0
Xpediator,XPD,5000,69.25,80,60,2018-06-19,80.3,2018-07-17,540.0
RWA,RWA,500,672.31,800,600,2018-06-15,733.4,2018-09-17,306.0
Alliance Pharma,APH,5000,94.9,120,80,2018-06-07,90.1,2018-09-05,-240.0
Tritax,BBOX,5000,151.0,180,130,2018-06-05,143.2,2018-11-02,-395.0
Ab Dynamics,ABDP,500,1098.8,1400,900,2018-06-04,1882.0,2019-03-20,3916.0
Dignity,DTY,500,1010.7,1100,900,2018-06-01,1027.0,2018-09-26,-100.0
H&T,HAT,2500,329.0,370,280,2018-05-22,320.6,2018-08-06,-210.0
Rosenblatt,RBGP,5000,115.9,170,96,2018-05-18,106.0,2018-08-10,-495.0
Computacentre,CCC,400,1294.0,1500,1300,2018-05-17,1547.0,2018-08-15,1012.0
Cerillion,CER,2500,123.9,155,105,2018-05-16,161.6,2018-10-09,943.0
Van Elle,VANL,7500,83.9,105,75,2018-05-03,95.9,2018-05-29,900.0
Dignity,DTY,500,1099.0,1400,1000,2018-04-30,1027.0,2018-09-26,-360.0
NWF,NWF,2500,194.0,225,180,2018-04-25,186.25,2018-09-28,-194.0
K3C,K3C,1000,281.8,350,230,2018-04-25,240.5,2019-02-14,-413.0
Science Group,SAG,1500,214.0,300,180,2018-04-19,210.0,2020-03-09,-60.0
Science Group,SAG,2500,212.0,300,180,2018-04-19,234.0,2018-10-08,550.0
Future,FUTR,1000,416.0,500,400,2018-04-18,781.5,2019-03-20,3655.0
Alliance Pharma,APH,10000,76.5,95,65,2018-04-17,94.95,2018-08-08,1845.0
ITV,ITV,5000,142.5,165,130,2018-04-12,167.5,2018-08-07,1250.0
Redde,REDD,3500,169.6,185,135,2018-03-27,181.0,2018-06-28,399.0
Sopheon,SPE,900,669.0,750,550,2018-03-22,1151.25,2019-03-20,4340.0
Kape,KAPE,7500,81.2,100,65,2018-03-20,104.75,2018-04-11,1766.0
Fulcrum,FCRM,5000,59.7,70,60,2018-03-19,60.0,2018-10-02,15.0
NWF,NWF,2500,187.0,220,150,2018-03-16,186.25,2018-09-28,-19.0
Augmentium Fin,AUGM,5000,100.0,120,89,2018-03-07,103.2,2019-01-18,160.0
Next Fifteen,NFC,1000,424.75,500,370,2018-02-19,478.3,2020-03-05,536.0
K3C,K3C,1000,199.78,300,180,2018-02-05,230.0,2019-02-28,303.0
Ab Dynamics,ABDP,500,780.0,900,720,2018-01-29,,,
Sopheon,SPE,1000,505.2,650,450,2018-01-25,682.0,2020-02-28,1768.0
Future,FUTR,1000,387.0,430,340,2018-01-24,1042.0,2019-07-01,6550.0
Abcam,ABC,500,1163.9,1300,1080,2018-01-22,1256.4,2018-03-20,463.0
K3C,K3C,1500,179.9,245,150,2018-01-16,230.0,2019-02-28,752.0
Computacentre,CCC,500,1129.0,1250,1050,2017-12-22,1169.0,2018-03-22,200.0
Sanderson,SDG,6242,80.0,95,70,2017-12-08,83.0,2018-03-21,187.0
T Clarke,CTO,4000,72.0,90,60,2017-12-06,81.31,2018-10-12,364.0
T Clarke,CTO,10000,73.9,90,60,2017-12-06,81.31,2018-10-12,741.0
Everyman Media,EMAN,2000,201.0,230,170,2017-12-05,220.0,2020-02-25,380.0
Cerillion,CER,2500,127.0,170,110,2017-11-27,161.6,2018-10-09,865.0
Ab Dynamics,ABDP,1000,727.0,950,600,2017-11-16,864.0,2018-01-23,1370.0
Avon Rubber,AVON,500,1107.0,1250,1000,2017-11-16,2528.4,2021-07-12,7107.0
Avon Rubber,AVON,202,1087.0,1100,1020,2017-11-15,1236.0,2021-11-12,301.0
888,888,2000,244.0,280,225,2017-10-26,293.0,2018-01-12,972.0
K3C,K3C,1000,127.9,185,115,2017-10-25,348.5,2023-02-01,2206.0
K3C,K3C,1000,128.9,185,115,2017-10-25,170.9,2019-04-01,420.0
Zytronic,ZYT,1000,530.0,600,480,2017-10-24,576.7,2017-11-09,467.0
Gb Group,GBG,1000,413.7,450,390,2017-10-24,422.0,2017-11-14,83.0
Somero,SOM,2000,291.9,330,270,2017-10-24,287.5,2017-11-09,-88.0
Smith DS,SMDS,1000,493.0,540,474,2017-10-23,544.75,2017-12-04,517.0
Concurrent,CNC,5000,80.8,96,70,2017-10-12,77.0,2018-10-08,-190.0
Ten Entertainment,TEG,2000,202.75,230,170,2017-10-12,258.1,2020-03-05,1107.0
Fulcrum,FCRM,10000,54.9,75,45,2017-10-10,60.0,2018-10-02,510.0
Jarvis,JIM,1000,510.0,580,450,2017-10-10,596.0,2017-11-13,860.0
Numis,NUM,1500,285.2,350,240,2017-10-02,371.5,2018-03-20,1294.0
Photo-Me,PHTM,2000,167.8,195,140,2017-10-02,158.28,2018-05-21,-191.0
Headlam,HEAD,500,582.5,650,550,2017-09-29,546.1,2017-11-23,-182.0
Avon Rubber,AVON,500,900.0,1100,800,2017-09-19,1236.0,2021-11-12,1680.0
Flowtech Fluidpower,FLO,2500,125.3,155,115,2017-09-18,121.1,2018-09-18,-105.0
Flowtech Fluidpower,FLO,2500,129.75,160,115,2017-09-18,174.0,2017-11-07,1107.0
Photo-Me,PHTM,2000,171.25,190,150,2017-09-15,158.28,2018-05-21,-260.0
Alliance Pharma,APH,5000,53.0,70,44,2017-09-13,75.0,2019-11-19,1100.0
Ramsdens,RFX,2500,169.8,190,150,2017-09-13,171.5,2019-02-18,42.0
K3C,K3C,2500,138.0,190,118,2017-09-11,170.9,2019-04-01,822.0
ITV,ITV,3500,157.97,200,140,2017-09-06,173.0,2017-10-23,527.0
Paypoint,PAY,500,901.5,980,840,2017-08-30,936.9,2017-10-24,177.0
Zytronic,ZYT,1000,553.65,630,520,2017-08-24,610.15,2017-10-12,565.0
Van Elle,VANL,5000,90.0,125,75,2017-07-26,97.0,2017-09-13,350.0
Zytronic,ZYT,1000,499.3,550,440,2017-07-06,470.0,2018-03-02,-293.0
Volex,VLX,5000,60.88,80,52,2017-07-03,85.1,2017-12-28,1211.0
Page,PAGE,1000,472.9,520,445,2017-07-03,496.0,2017-09-20,231.0
Next 15,NFC,500,415.25,500,370,2017-06-30,430.0,2017-12-28,74.0
Everyman Media,EMAN,3500,143.8,190,120,2017-06-15,183.6,2020-03-05,1393.0
Oxford Metrics,OMG,5000,60.4,85,40,2017-06-15,120.0,2021-10-26,2980.0
Purplebricks,PURP,2500,336.21,500,300,2017-06-15,510.0,2017-07-24,4345.0
Alliance Pharma,APH,12500,48.93,60,42,2017-05-23,75.0,2019-11-19,3259.0
Tritax (rights),BBOX,4000,136.0,160,125,2017-05-11,143.2,2018-11-02,284.0
Concurrent Tech,CNC,7500,77.0,98,68,2017-05-03,94.55,2017-05-23,1316.0
Up Global,UPGS,2500,171.7,220,155,2017-04-27,223.75,2017-06-06,1301.0
YU Group,YU,1000,345.0,450,310,2017-04-21,431.0,2017-05-24,860.0
IG Group,IGG,1000,515.7,620,470,2017-04-18,675.5,2017-11-10,1598.0
Ten Entertainment,TEG,2500,162.65,180,150,2017-04-13,,,
Concurrent Tech,CNC,3500,72.25,90,62,2017-04-13,77.0,2018-10-08,167.0
Alumasc,ALU,2200,175.1,195,135,2017-04-06,181.3,2017-05-25,136.0
Eurocell,ECEL,1400,244.89,285,220,2017-04-04,257.6,2017-06-08,178.0
Morgan Sindall,MGNS,400,990.0,1100,920,2017-04-04,1355.0,2018-01-24,1460.0
Sportech,SPO,5000,101.48,120,85,2017-04-03,99.5,2017-07-20,-99.0
Science Group,SAG,2500,170.0,220,135,2017-03-31,227.0,2017-09-11,1425.0
Ramsdens,RFX,3500,102.0,125,95,2017-03-28,171.5,2019-02-18,2432.0
Next 15,NFC,1500,391.8,450,350,2017-03-28,430.0,2017-12-28,573.0
Sopheon,SPE,1000,460.0,530,410,2017-03-20,416.0,2017-05-04,-440.0
Somero,SOM,2000,281.4,330,250,2017-03-17,331.5,2017-05-11,1002.0
Dignity,DTY,150,2386.9,2600,2220,2017-03-09,2554.0,2017-03-10,251.0
Dominos,DOM,2500,333.41,360,310,2017-03-09,332.0,2017-05-03,-35.0
Morgan Sindall,MGNS,500,1039.25,1100,950,2017-03-06,1290.9,2017-07-06,1258.0
Motorpoint,MOTR,2500,130.8,142,122,2017-03-03,160.9,2017-04-18,752.0
Hollywood Bowl,BOWL,469,158.5,200,145,2017-03-03,,,
Xeros,XSG,1500,214.25,330,190,2017-03-02,280.75,2017-10-06,998.0
NCC,NCC,3500,96.0,120,82,2017-02-22,117.3,2017-02-28,745.0
Ramsdens,RFX,5000,96.5,110,85,2017-02-16,107.9,2017-03-10,570.0
K3 Business,KBT,2000,254.0,270,225,2017-02-13,253.0,2017-03-01,-20.0
Redrow,RDW,750,474.3,520,450,2017-02-09,573.5,2017-05-16,744.0
Purplebricks,PURP,1500,211.8,350,180,2017-02-09,448.83,2017-06-08,3555.0
Purplebricks,PURP,2000,211.8,350,180,2017-02-09,411.0,2017-06-06,3986.0
Dialight,DIA,500,911.2,1000,840,2017-02-03,1056.5,2017-03-13,726.0
Van Elle,VANL,7500,111.0,125,103,2017-02-01,97.03,2017-03-22,-1048.0
Van Elle,VANL,4400,109.75,125,103,2017-02-01,126.0,2017-02-17,715.0
Sopheon,SPE,1000,389.0,450,330,2017-01-30,682.0,2020-02-28,2930.0
Greencore,GNC,1500,221.4,280,190,2017-01-30,266.9,2017-03-14,682.0
Next 15,NFC,1000,321.0,380,280,2017-01-23,1141.0,2021-09-24,8200.0
Somero,SOM,1200,223.0,265,195,2017-01-03,290.0,2017-09-08,804.0
